,SMILES,N2 permeability (barrer)
246,*Nc1ccc(C(c2ccc(NC(=O)c3cc(C(*)=O)cc(-c4ccccc4)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.2
247,*Nc1ccc(C(c2ccc(NC(=O)c3cc(C(*)=O)cc(C(C)(C)C)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.06
248,*Nc1ccc(C(c2ccc(NC(=O)c3ccc(Oc4cc(C(C)(C)C)c(Oc5ccc(C(*)=O)cc5)cc4C(C)(C)C)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.51
249,*Nc1ccc(C(c2ccc(NC(=O)c3ccc4c(c3)C(C)(C)CC4(C)c3ccc(C(*)=O)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.36
250,*Nc1ccc(C(c2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,0.33499999999999996
251,*Nc1ccc(C2(c3ccc(NC(=O)CN4C(=O)c5ccc(C(*)=O)cc5C4=O)cc3)c3ccccc3-c3ccccc32)cc1,0.064
252,*Nc1ccc(C2(c3ccc(NC(=O)Cn4c(=O)c5cc6c(=O)n(CC(*)=O)c(=O)c6cc5c4=O)cc3)c3ccccc3-c3ccccc32)cc1,0.065
253,*Nc1ccc(C2(c3ccc(NC(=O)c4cc(C(*)=O)cc(C(C)(C)C)c4)cc3)c3ccccc3-c3ccccc32)cc1,1.404
254,*Nc1ccc(C2(c3ccc(NC(=O)c4ccc(C(*)=O)cc4)cc3)c3ccccc3-c3ccccc32)cc1,0.517
255,*Nc1ccc(C2(c3ccc(NC(=O)c4cccc(C(*)=O)c4)cc3)c3ccccc3-c3ccccc32)cc1,0.197
256,*Nc1ccc(Cc2ccc(NC(=O)CN3C(=O)c4ccc(C(*)=O)cc4C3=O)cc2)cc1,0.017
257,*Nc1ccc(NC(=O)c2ccc3c(c2)C(C)(C)CC3(C)c2ccc(C(*)=O)cc2)cc1,0.25
258,*Nc1ccc(Oc2c(F)c(F)c(Oc3ccc(NC(=O)CN4C(=O)c5ccc(C(*)=O)cc5C4=O)cc3)c(F)c2F)cc1,0.071
259,*Nc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(C)(C)CC6(C)c5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,0.31
260,*Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(C)(C)CC4(C)c3ccc(C(*)=O)cc3)cc2)cc1,0.24
261,*Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)CN4C(=O)c5ccc(C(*)=O)cc5C4=O)cc3)cc2)cc1,0.02
262,*Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3cc(C(*)=O)cc(-c4ccccc4)c3)cc2)cc1,0.13
263,*Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)cc1,0.031
264,*Nc1cccc(NC(=O)c2ccc(C(c3ccc(C(*)=O)cc3)(C(F)(F)F)C(F)(F)F)cc2)c1,0.4
265,*Nc1cccc(NC(=O)c2ccc3c(c2)C(C)(C)CC3(C)c2ccc(C(*)=O)cc2)c1,0.15
266,*Nc1cccc(S(=O)(=O)c2cccc(NC(=O)c3ccc4c(c3)C(C)(C)CC4(C)c3ccc(C(*)=O)cc3)c2)c1,0.06
